date,open,high,low,close,volume,amount
2024-01-02,7.83,7.86,7.65,7.65,115836600,1075742252.45
2024-01-03,7.63,7.66,7.59,7.64,73361000,673673613.54
2024-01-04,7.63,7.63,7.52,7.55,86419400,787470082.37
2024-01-05,7.54,7.88,7.51,7.71,199162200,1852659692.14
2024-01-08,7.67,7.74,7.55,7.59,112115600,1029006548.73
2024-01-09,7.6,7.63,7.53,7.62,76619400,700375720.2
2024-01-10,7.6,7.63,7.53,7.53,85862100,783771150.01
2024-01-11,7.52,7.66,7.47,7.61,93468600,853890237.29
2024-01-12,7.57,7.71,7.55,7.63,77258200,711018266.07
2024-01-15,7.6,7.73,7.57,7.65,74513300,685950951.45
2024-01-16,7.63,7.79,7.6,7.78,143831300,1334465408.53
2024-01-17,7.77,7.83,7.67,7.67,148229600,1380725065.03
2024-01-18,7.65,7.68,7.44,7.64,175513200,1597853726.63
2024-01-19,7.6,7.64,7.54,7.61,96398100,881865023.89
2024-01-22,7.6,7.7,7.48,7.54,158032000,1449858241.68
2024-01-23,7.49,7.62,7.4,7.6,113554500,1030898421.04
2024-01-24,7.67,7.78,7.51,7.77,175912300,1620099272.06
2024-01-25,7.77,7.98,7.71,7.94,216251400,2037648413.07
2024-01-26,7.91,8.11,7.88,8.06,227228700,2172799799.01
2024-01-29,8.13,8.32,8.02,8.14,237625200,2312173346.33
2024-01-30,8.05,8.14,7.93,7.94,157912200,1515156603.96
2024-01-31,7.9,8.0,7.82,7.9,135721700,1286857396.81
2024-02-01,7.85,7.92,7.78,7.85,105526000,993481907.01
2024-02-02,7.86,7.91,7.51,7.71,163421400,1520605694.69
2024-02-05,7.63,7.87,7.55,7.82,180359200,1674566499.46
2024-02-06,7.74,8.12,7.73,8.12,199541000,1900324218.2
2024-02-07,8.06,8.11,7.92,8.05,206201500,1975435102.12
2024-02-08,8.02,8.11,7.96,8.11,165681400,1593505690.13
2024-02-19,8.2,8.25,8.09,8.25,160524300,1564088444.93
2024-02-20,8.23,8.28,8.17,8.26,112356400,1098987813.26
2024-02-21,8.22,9.24,8.21,9.24,505528500,5295259396.81
2024-02-22,9.09,9.35,9.06,9.34,492232500,5307736374.06
2024-02-23,9.32,9.68,9.28,9.29,356748000,3917316281.52
2024-02-26,9.22,9.32,8.94,8.97,286260900,3048205024.78
2024-02-27,8.93,9.04,8.9,8.94,198190500,2083027074.06
2024-02-28,8.95,9.14,8.84,8.93,308269300,3253340358.41
2024-02-29,8.86,9.03,8.85,9.03,184534400,1936020982.56
2024-03-01,9.03,9.04,8.87,8.93,182810300,1917689306.77
2024-03-04,8.89,8.94,8.76,8.77,165593000,1719562862.03
2024-03-05,8.74,8.91,8.7,8.87,181731900,1889144330.16
2024-03-06,8.84,8.89,8.77,8.77,134564000,1396940060.42
2024-03-07,8.77,9.08,8.77,8.82,201616600,2109589237.19
2024-03-08,8.79,8.88,8.74,8.82,111397400,1154491251.23
2024-03-11,8.82,8.91,8.78,8.91,121067300,1260212019.66
2024-03-12,8.92,9.03,8.85,9.0,164126200,1721999708.11
2024-03-13,8.97,8.99,8.74,8.77,176803900,1834654994.4
2024-03-14,8.74,8.82,8.64,8.67,140940000,1448499697.91
2024-03-15,8.99,9.19,8.94,9.04,375020800,3973799130.9
2024-03-18,9.0,9.05,8.93,8.98,167139700,1761249149.98
2024-03-19,8.97,8.98,8.83,8.84,129321600,1351069630.23
2024-03-20,8.82,8.91,8.81,8.89,87266300,910278572.98
2024-03-21,8.89,8.96,8.86,8.91,86446600,905422293.67
2024-03-22,8.89,8.89,8.75,8.8,102814200,1065535606.11
2024-03-25,8.79,8.93,8.76,8.84,95320200,993304120.45
2024-03-26,8.89,9.1,8.86,9.04,174002100,1835376190.72
2024-03-27,9.0,9.07,8.95,8.97,127413600,1347397150.36
2024-03-28,8.95,9.01,8.82,8.93,130218900,1362980388.48
2024-03-29,8.89,9.01,8.87,8.96,87275900,917332315.96
2024-04-01,8.96,9.09,8.95,9.08,119108800,1261770380.39
2024-04-02,9.07,9.12,8.97,8.99,108545800,1149700799.95
2024-04-03,8.97,8.99,8.86,8.9,98184600,1028648883.43
2024-04-08,8.86,8.93,8.81,8.87,90636100,945290441.32
2024-04-09,8.87,8.91,8.8,8.84,85715700,891468991.01
2024-04-10,8.82,8.85,8.71,8.72,124639100,1288696196.29
2024-04-11,8.68,8.73,8.56,8.69,101021300,1030820137.39
2024-04-12,8.66,8.71,8.48,8.5,130545400,1322011753.93
2024-04-15,8.51,8.76,8.5,8.73,145320300,1486326196.01
2024-04-16,8.72,8.83,8.66,8.72,147803600,1523138499.07
2024-04-17,8.7,9.07,8.65,9.06,223264100,2337576586.88
2024-04-18,9.02,9.47,9.0,9.24,316591400,3427338981.81
2024-04-19,9.15,9.26,9.1,9.13,145767500,1562376146.58
2024-04-22,9.08,9.25,8.89,8.94,200981800,2125722741.41
2024-04-23,8.95,9.09,8.9,8.98,124002700,1308866093.13
2024-04-24,8.96,9.01,8.9,8.97,94156800,989093538.21
2024-04-25,8.94,9.06,8.92,9.05,111381200,1176304524.86
