date,open,high,low,close,volume,amount
2025-01-02,510.00,510.98,508.85,510.18,42000000,21427560000
2025-01-03,510.33,511.84,509.38,510.58,43878873,22403533330
2025-01-06,510.86,512.47,509.97,511.17,45641457,23330604492
2025-01-07,511.55,512.81,510.40,511.93,47178689,24152074046
2025-01-08,512.36,514.01,511.37,512.80,48395520,24817032374
2025-01-09,513.24,515.05,512.42,513.72,49216823,25283593304
2025-01-10,514.13,515.59,513.00,514.63,49592062,25521756978
2025-01-13,514.96,516.65,513.92,515.48,49498433,25515660641
2025-01-14,515.69,517.56,514.92,516.22,48942288,25264979769
2025-01-15,516.28,517.83,515.17,516.80,47958733,24785273889
2025-01-16,516.72,518.32,515.64,517.22,46609449,24107184600
2025-01-17,516.99,518.80,516.29,517.45,44978857,23274493154
2025-01-20,517.11,518.63,516.03,517.53,43168867,22341180841
2025-01-21,517.11,518.50,516.00,517.47,42928455,22214286423
2025-01-22,517.02,518.66,516.26,517.32,44770921,23160893657
2025-01-23,516.89,518.28,515.85,517.12,46448503,24019352054
2025-01-24,516.75,517.87,515.62,516.91,47857426,24738052179
2025-01-27,516.65,518.07,515.83,516.74,48910619,25274163076
2025-01-28,516.62,517.85,515.62,516.64,49543127,25596021435
2025-01-29,516.66,517.55,515.48,516.63,49716153,25684837434
2025-01-30,516.80,518.10,515.83,516.71,49419467,25535686549
2025-01-31,517.01,518.27,515.94,516.88,48672044,25157786369
2025-02-03,517.27,518.08,515.97,517.12,47520884,24574047841
2025-02-04,517.56,518.83,516.46,517.40,46038089,23819893319
2025-02-05,517.84,519.14,516.78,517.67,44316381,22941345455
2025-02-06,518.07,518.94,516.77,517.92,42463334,21992421648
2025-02-07,518.22,519.44,517.10,518.10,43847307,22717103606
2025-02-10,518.28,519.61,517.36,518.19,45631833,23645993324
2025-02-11,518.23,519.18,517.06,518.19,47204818,24461106640
2025-02-12,518.08,519.27,517.05,518.10,48468991,25111807863
2025-02-13,517.86,519.28,517.09,517.94,49346279,25558307255
2025-02-14,517.58,518.76,516.47,517.73,49782666,25774175010
2025-02-17,517.31,518.63,516.23,517.53,49751548,25747860827
2025-02-18,517.08,518.72,516.37,517.37,49255387,25483155245
2025-02-19,516.94,518.39,515.86,517.30,48325562,24998631845
2025-02-20,516.94,518.39,515.84,517.35,47020413,24326188298
2025-02-21,517.11,518.92,516.35,517.57,45421615,23508869987
2025-02-24,517.47,519.11,516.42,517.96,43629104,22598162616
2025-02-25,518.01,519.49,516.88,518.52,42891142,22240110569
2025-02-26,518.71,520.57,517.89,519.24,44747065,23234605918
2025-02-27,519.56,521.29,518.56,520.08,46452799,24159249733
2025-02-28,520.48,521.88,519.34,520.99,47902820,24956987874
2025-03-03,521.44,523.22,520.56,521.92,49007499,25577843038
2025-03-04,522.36,524.05,521.41,522.80,49698683,25982239406
2025-03-05,523.18,524.38,522.03,523.57,49933925,26143826641
2025-03-06,523.86,525.45,522.92,524.19,49699128,26051552295
2025-03-07,524.35,525.90,523.46,524.61,49009418,25710731711
2025-03-10,524.63,525.68,523.48,524.82,47908207,25142956590
2025-03-11,524.69,526.03,523.70,524.80,46464491,24384781278
2025-03-12,524.54,525.92,523.71,524.59,44768562,23485272493
2025-03-13,524.22,525.17,523.08,524.21,42926393,22502627006
2025-03-14,523.78,524.95,522.68,523.72,43813949,22946095347
2025-03-17,523.27,524.61,522.38,523.16,45618462,23865644999
2025-03-18,522.74,523.76,521.48,522.60,47225479,24679943719
2025-03-19,522.26,523.37,521.02,522.10,48535610,25340286099
2025-03-20,521.87,523.22,520.99,521.70,49467927,25807648650
2025-03-21,521.62,522.71,520.38,521.46,49964991,26054750106
2025-03-24,521.53,522.57,520.28,521.39,49996426,26067426459
2025-03-25,521.60,522.94,520.73,521.49,49560806,25845321724
2025-03-26,521.82,522.97,520.71,521.75,48685744,25401909045
