date,open,high,low,close,volume,amount
2025-01-02,580.00,580.98,578.85,580.18,55000000,31909899999
2025-01-03,580.33,581.84,579.38,580.58,57457799,33358663462
2025-01-06,580.86,582.47,579.97,581.17,59763312,34732723801
2025-01-07,581.55,582.81,580.40,581.93,61773723,35947835697
2025-01-08,582.36,584.01,581.37,582.80,63364562,36928617597
2025-01-09,583.24,585.05,582.42,583.72,64437447,37613330978
2025-01-10,584.13,585.59,583.00,584.63,64926200,37958058437
2025-01-13,584.96,586.65,583.92,585.48,64800960,37939938886
2025-01-14,585.69,587.56,584.92,586.22,64070044,37559130535
2025-01-15,586.28,587.83,585.17,586.80,62779424,36839228692
2025-01-16,586.72,588.32,585.64,587.22,61009874,35826015830
2025-01-17,586.99,588.80,586.29,587.45,58871943,34584563225
2025-01-20,587.11,588.63,586.03,587.53,56499088,33194905381
2025-01-21,587.11,588.50,586.00,587.47,56181631,33005152085
2025-01-22,587.02,588.66,586.26,587.32,58591753,34412109426
2025-01-23,586.89,588.28,585.85,587.12,60785957,35688523063
2025-01-24,586.75,587.87,585.62,586.91,62628344,36757293121
2025-01-27,586.65,588.07,585.83,586.74,64004894,37554349037
2025-01-28,586.62,587.85,585.62,586.64,64830548,38032271588
2025-01-29,586.66,587.55,585.48,586.63,65054498,38162895705
2025-01-30,586.80,588.10,585.83,586.71,64663350,37938835262
2025-01-31,587.01,588.27,585.94,586.88,63681951,37373899261
2025-02-03,587.27,588.08,585.97,587.12,62171849,36502399186
2025-02-04,587.56,588.83,586.46,587.40,60227462,35377331314
2025-02-05,587.84,589.14,586.78,587.67,57970213,34067465612
2025-02-06,588.07,588.94,586.77,587.92,55540974,32653403146
2025-02-07,588.22,589.44,587.10,588.10,57350687,33727695547
2025-02-10,588.28,589.61,587.36,588.19,59684936,35106126692
2025-02-11,588.23,589.18,587.06,588.19,61742167,36316180143
2025-02-12,588.08,589.27,587.05,588.10,63395000,37282630401
2025-02-13,587.86,589.28,587.09,587.94,64541199,37946215875
2025-02-14,587.58,588.76,586.47,587.73,65110027,38267371654
2025-02-17,587.31,588.63,586.23,587.53,65066646,38228530919
2025-02-18,587.08,588.72,586.37,587.37,64414281,37834879796
2025-02-19,586.94,588.39,585.86,587.30,63194022,37113611938
2025-02-20,586.94,588.39,585.84,587.35,61482267,36111841789
2025-02-21,587.11,588.92,586.35,587.57,59385973,34893422315
2025-02-24,587.47,589.11,586.42,587.96,57036005,33534931214
2025-02-25,588.01,589.49,586.88,588.52,56066996,32996804199
2025-02-26,588.71,590.57,587.89,589.24,58494740,34467623463
2025-02-27,589.56,591.29,588.56,590.08,60725808,35833186789
2025-02-28,590.48,591.88,589.34,590.99,62622014,37009111751
2025-03-03,591.44,593.22,590.56,591.92,64065988,37921742429
2025-03-04,592.36,594.05,591.41,592.80,64968478,38513010390
2025-03-05,593.18,594.38,592.03,593.57,65273903,38744528025
2025-03-06,593.86,595.45,592.92,594.19,64963799,38600534365
2025-03-07,594.35,595.90,593.46,594.61,64057976,38089383625
2025-03-10,594.63,595.68,593.48,594.82,62613283,37243334217
2025-03-11,594.69,596.03,593.70,594.80,60720071,36116581026
2025-03-12,594.54,595.92,593.71,594.59,58496581,34781655297
2025-03-13,594.22,595.17,593.08,594.21,56081586,33324477687
2025-03-14,593.78,594.95,592.68,593.72,57241231,33985072895
2025-03-17,593.27,594.61,592.38,593.16,59601653,35353173323
2025-03-18,592.74,593.76,591.48,592.60,61703448,36565343595
2025-03-19,592.26,593.37,591.02,592.10,63416465,37548685252
2025-03-20,591.87,593.22,590.99,591.70,64634726,38244669374
2025-03-21,591.62,592.71,590.38,591.46,65283012,38612297986
2025-03-24,591.53,592.57,590.28,591.39,65321546,38630234597
2025-03-25,591.60,592.94,590.73,591.49,64748461,38297880379
2025-03-26,591.82,592.97,590.71,591.75,63599915,37635409222
2025-03-27,592.16,593.13,591.03,592.16,61947849,36682761545
2025-03-28,592.60,593.99,591.79,592.66,59895509,35497579531
2025-03-31,593.09,594.42,592.09,593.22,57571028,34152107139
2025-04-01,593.59,594.68,592.45,593.79,55951541,33223195267
2025-04-02,594.06,595.63,593.18,594.32,58394242,34704943183
2025-04-03,594.46,596.05,593.51,594.79,60659730,36079913017
